"location","ages_0_4","cap_lic_ctrs_homes_per_cap","licensed_home_per_cap","licensed_center_per_cap","registered_ministry_per_cap","pct_white","pct_black","pct_hispanic","pct_asian","pct_am_indian","child_care_vouchers_per_cap","first_steps_per_cap","early_head_start_per_cap","head_start_per_cap","child_care_slots_0_5_per_cap","waiting_list_per_cap","wic_breastfeeding_per_lb","wic_child_per_cap","wic_total_part_per_tot"
"Porter",9097,0.1880839837309,0.00351764317907002,0.000989337144113444,0.000879410794767506,0.782640019211783,0.0581423272940737,0.14091309336393,0.0160631854203912,0.00224137470982202,0.0699131581840167,0.0554028800703529,0.00659558096075629,0.0158293943058151,0.0000164889524018907,0.008904034297021,0.222760290556901,0.175772232604155,0.111348293620087
"Clark",7437,0.231276052171575,0.00309264488368966,0.00188247949441979,0.00161355385235982,0.774318772848905,0.118795462254551,0.091320242716617,0.0135680096483624,0.00199751253156447,0.0989646362780691,0.063466451526153,0.00968132311415893,0.0389942180986957,0.0000255479359956972,0.0158666128815383,0.296346414073072,0.290036304961678,0.194625560622621
"Madison",7382,0.241804389054457,0.00961798970468708,0.00149011108100786,0.00135464643727987,0.803814232738831,0.106410030019424,0.0799576196362352,0.00741656365883807,0.00240155394667138,0.115280411812517,0.0675968572202655,0.0134109997290707,0.041452180980764,0.0000270929287455974,0.0265510701706855,0.429693076374019,0.35261446762395,0.242486314674201
"Monroe",6622,0.362277257626095,0.00875868317728783,0.00362428269405014,0.00120809423135005,0.820848298272618,0.0608431674362921,0.0565674704976911,0.0587480759363776,0.00299298785702069,0.0690123829658713,0.0351857444880701,0.00860767139836907,0.0403201449713078,0.0000453035336756267,0.0173663545756569,0.3912,0.247659317426759,0.171284419360356
"LaPorte",6600,0.293181818181818,0.0128787878787879,0.00151515151515152,0.00106060606060606,0.721892993737654,0.156432564199554,0.110788887487917,0.0068087252553272,0.00407682931954777,0.179545454545455,0.0463636363636364,0,0.0471212121212121,0.0000363636363636364,0.0210606060606061,0.38166144200627,0.371969696969697,0.259277938889589
"Vigo",6283,0.421136399809008,0.0243514244787522,0.00127327709692822,0.000954957822696164,0.852969153417584,0.0889160664945418,0.0332925669248539,0.0221044525977261,0.0027177605652942,0.198153748209454,0.0487028489575044,0.0127327709692822,0.0356517587139901,0.0000557058729906096,0.035015120165526,0.310711365494685,0.297946840681203,0.227793631381075
"Delaware",5889,0.349465104431992,0.00577347597215147,0.0022075055187638,0.00254712175241977,0.818504672897196,0.119532710280374,0.0407943925233645,0.0185514018691589,0.00261682242990654,0.149600950925454,0.0568857191373748,0.00815078960774325,0.043640686024792,0.0000492443538801155,0.0249617931737137,0.402852049910873,0.351842418067584,0.244252336448598
"Bartholomew",5395,0.233178869323448,0.00426320667284523,0.00129749768303985,0.00148285449490269,0.776211227890285,0.037733914380928,0.114483465778006,0.0689054088695206,0.00266598308126122,0.0389249304911956,0.0561631139944393,0.0133456904541242,0.0129749768303985,0.0000352177942539388,0.00834105653382762,0.354066985645933,0.277479147358665,0.191181748269674
"Kosciusko",5161,0.155202480139508,0.00387521798101143,0.00155008719240457,0.000775043596202286,0.833219806130469,0.0235263295782028,0.129630599947603,0.0105318312811108,0.00309143306261462,0.0273202867661306,0.0362332881224569,0.00775043596202286,0.0261577213718272,0.0000232513078860686,0.004068978880062,0.282876064333018,0.276884324743267,0.17783599685617
"Howard",5089,0.288661819610926,0.00412654745529574,0.00176852033798389,0.00216152485753586,0.808491273155584,0.121105043366527,0.0521469108041546,0.0143484313095621,0.00390834136417175,0.107290233837689,0.0459815287875811,0.016113185301631,0.062094714089212,0.000047160542346237,0.0206327372764787,0.291452111225541,0.359009628610729,0.241407002891102
